time,leftVelocity,rightVelocity,leftPosition,rightPosition,x,y,
15.0,4.20027,6.61973,37.37276,38.07524,43.50712,34.05138,
15.1,4.18323,6.63677,37.79108,38.73892,43.44253,34.58851,
15.2,4.19605,6.62395,38.21069,39.40131,43.36492,35.12391,
15.3,4.22951,6.59049,38.63364,40.06036,43.27468,35.65733,
15.4,4.27702,6.54298,39.06134,40.71466,43.17239,36.18857,
15.5,4.33377,6.48623,39.49472,41.36328,43.05868,36.71749,
15.6,4.39623,6.42377,39.93434,42.00566,42.93428,37.24399,
15.7,4.42161,6.31839,40.37650,42.63750,42.80091,37.76416,
15.8,4.42040,6.31960,40.81854,43.26946,42.65768,38.28171,
15.9,4.44155,6.29845,41.26270,43.89930,42.50486,38.79651,
16.0,4.47716,6.26284,41.71042,44.52558,42.34288,39.30850,
16.1,4.52180,6.21820,42.16260,45.14740,42.17224,39.81766,
16.2,4.57168,6.16832,42.61976,45.76424,41.99348,40.32404,
16.3,4.62632,6.11368,43.08240,46.37560,41.80722,40.82770,
16.4,4.37789,5.66211,43.52019,46.94181,41.62707,41.29626,
16.5,4.38686,5.65314,43.95887,47.50713,41.44099,41.76250,
16.6,4.40731,5.63269,44.39960,48.07040,41.24922,42.22643,
16.7,4.43493,5.60507,44.84309,48.63091,41.05203,42.68808,
16.8,4.46676,5.57324,45.28977,49.18823,40.84975,43.14752,
16.9,4.50074,5.53926,45.73984,49.74216,40.64270,43.60483,
17.0,4.53660,5.50340,46.19350,50.29250,40.43125,44.06012,
17.1,4.57646,5.46354,46.65115,50.83885,40.21576,44.51352,
17.2,4.27213,5.02787,47.07836,51.34164,40.01299,44.93198,
17.3,4.29912,5.00088,47.50827,51.84173,39.80729,45.34901,
17.4,4.32439,4.97561,47.94071,52.33929,39.59887,45.76469,
17.5,4.34811,4.95189,48.37553,52.83447,39.38795,46.17910,
17.6,4.37041,4.92959,48.81257,53.32743,39.17472,46.59232,
17.7,4.39137,4.90863,49.25170,53.81830,38.95935,47.00444,
17.8,4.41200,4.88800,49.69290,54.30710,38.74202,47.41553,
17.9,4.43133,4.86867,50.13604,54.79396,38.52289,47.82566,
18.0,4.07600,4.40400,50.54364,55.23436,38.32186,48.19898,
18.1,4.11767,4.36233,50.95540,55.67060,38.11992,48.57180,
18.2,4.14733,4.33267,51.37014,56.10386,37.91729,48.94424,
18.3,4.16855,4.31145,51.78699,56.53501,37.71412,49.31640,
18.4,4.18384,4.29616,52.20537,56.96463,37.51054,49.68833,
18.5,4.19495,4.28505,52.62487,57.39313,37.30662,50.06007,
18.6,4.20312,4.27688,53.04518,57.82082,37.10243,50.43166,
18.7,4.20921,4.27079,53.46610,58.24790,36.89801,50.80313,
18.8,4.21383,4.26617,53.88749,58.67451,36.69340,51.17449,
18.9,3.81731,3.76269,54.26922,59.05078,36.51068,51.50654,
19.0,3.86281,3.71719,54.65550,59.42250,36.32844,51.83885,
19.1,3.89201,3.68799,55.04470,59.79130,36.14689,52.17154,
19.2,3.90961,3.67039,55.43566,60.15834,35.96613,52.50465,
19.3,3.91905,3.66095,55.82756,60.52444,35.78623,52.83824,
19.4,3.92280,3.65720,56.21985,60.89015,35.60722,53.17229,
19.5,3.92310,3.65690,56.61215,61.25585,35.42910,53.50683,
19.6,3.92201,3.65799,57.00436,61.62164,35.25186,53.84183,
19.7,3.91845,3.66155,57.39620,61.98780,35.07548,54.17729,
19.8,3.41304,3.16696,57.73750,62.30450,34.92309,54.46887,
19.9,3.48218,3.09782,58.08572,62.61428,34.77182,54.76103,
20.0,3.52789,3.05211,58.43851,62.91949,34.62194,55.05391,
20.1,3.55637,3.02363,58.79415,63.22185,34.47363,55.34758,
20.2,3.57222,3.00778,59.15137,63.52263,34.32697,55.64209,
20.3,3.57887,3.00113,59.50926,63.82274,34.18202,55.93743,
20.4,3.57890,3.00110,59.86715,64.12285,34.03878,56.23361,
20.5,3.57423,3.00577,60.22457,64.42343,33.89722,56.53060,
20.6,3.56445,3.01555,60.58102,64.72498,33.75730,56.82837,
20.7,3.55275,3.02725,60.93629,65.02771,33.61894,57.12686,
20.8,3.54048,3.03952,61.29034,65.33166,33.48208,57.42604,
20.9,2.95830,2.44170,61.58617,65.57583,33.37103,57.67215,
21.0,3.00173,2.39827,61.88634,65.81566,33.26147,57.91892,
21.1,3.03186,2.36814,62.18953,66.05247,33.15355,58.16642,
21.2,3.05152,2.34848,62.49468,66.28732,33.04737,58.41466,
21.3,3.06293,2.33707,62.80097,66.52103,32.94300,58.66367,
21.4,3.06791,2.33209,63.10777,66.75423,32.84046,58.91344,
21.5,3.06789,2.33211,63.41455,66.98745,32.73977,59.16396,
21.6,3.06402,2.33598,63.72096,67.22104,32.64090,59.41521,
21.7,3.05722,2.34278,64.02668,67.45532,32.54382,59.66716,
21.8,3.04680,2.35320,64.33136,67.69064,32.44850,59.91977,
21.9,3.03310,2.36690,64.63467,67.92733,32.35486,60.17301,
22.0,3.01949,2.38051,64.93662,68.16538,32.26285,60.42685,
22.1,2.14871,1.69129,65.15149,68.33451,32.19824,60.60765,
